title,abbrev_title
Nuclear medicine communications,Nucl Med Commun
Physical & occupational therapy in pediatrics,Phys Occup Ther Pediatr
The American journal of forensic medicine and pathology,Am J Forensic Med Pathol
Neuropeptides,Neuropeptides
La Revue de médecine interne,Rev Med Interne
The Prostate,Prostate
Gerontology & geriatrics education,Gerontol Geriatr Educ
Neuropediatrics,Neuropediatrics
American journal of industrial medicine,Am J Ind Med
Veterinary research communications,Vet Res Commun
Neurobiology of aging,Neurobiol Aging
Biomedical research,Biomed Res
Biomaterials,Biomaterials
Journal of tropical pediatrics,J Trop Pediatr
Human immunology,Hum Immunol
Revista española de geriatría y gerontología,Rev Esp Geriatr Gerontol
Peptides,Peptides
International journal of sports medicine,Int J Sports Med
Bioelectromagnetics,Bioelectromagnetics
Carcinogenesis,Carcinogenesis
Infant mental health journal,Infant Ment Health J
Lasers in surgery and medicine,Lasers Surg Med
The Journal of hospital infection,J Hosp Infect
Neurochemistry international,Neurochem Int
Journal of developmental and behavioral pediatrics : JDBP,J Dev Behav Pediatr
Appetite,Appetite
Journal of public health policy,J Public Health Policy
Annual review of public health,Annu Rev Public Health
Research quarterly for exercise and sport,Res Q Exerc Sport
Placenta,Placenta
Molecular and biochemical parasitology,Mol Biochem Parasitol
Journal of muscle research and cell motility,J Muscle Res Cell Motil
European heart journal,Eur Heart J
Endocrine reviews,Endocr Rev
Cell calcium,Cell Calcium
Journal of virological methods,J Virol Methods
Ear and hearing,Ear Hear
Medicine and science in sports and exercise,Med Sci Sports Exerc
International endodontic journal,Int Endod J
Experimental lung research,Exp Lung Res
Evaluation review,Eval Rev
Behavioural brain research,Behav Brain Res
American journal of infection control,Am J Infect Control
AJNR.  American journal of neuroradiology,AJNR Am J Neuroradiol
Cardiovascular and interventional radiology,Cardiovasc Intervent Radiol
Ultrastructural pathology,Ultrastruct Pathol
"Psychotherapie, Psychosomatik, medizinische Psychologie",Psychother Psychosom Med Psychol
Annals of emergency medicine,Ann Emerg Med
Clinics in chest medicine,Clin Chest Med
Cryo letters,Cryo Letters
IEEE transactions on pattern analysis and machine intelligence,IEEE Trans Pattern Anal Mach Intell
Yi chuan = Hereditas,Yi Chuan
Jornal brasileiro de nefrologia : ʹorgão oficial de Sociedades Brasileira e Latino-Americana de Nefrologia,J Bras Nefrol
Revista brasileira de ginecologia e obstetrícia : revista da Federação Brasileira das Sociedades de Ginecologia e Obstetrícia,Rev Bras Ginecol Obstet
Revista gaúcha de enfermagem,Rev Gaucha Enferm
Journal of insurance medicine,J Insur Med
Sociology of health & illness,Sociol Health Illn
Systematic parasitology,Syst Parasitol
Iranian journal of medical sciences,Iran J Med Sci
Pediatrics in review,Pediatr Rev
Journal of biosciences,J Biosci
La Pediatria medica e chirurgica : Medical and surgical pediatrics,Pediatr Med Chir
Neuro endocrinology letters,Neuro Endocrinol Lett
Biotechnology letters,Biotechnol Lett
International journal of cosmetic science,Int J Cosmet Sci
Der Pathologe,Pathologe
Zhongguo yi xue ke xue yuan xue bao. Acta Academiae Medicinae Sinicae,Zhongguo Yi Xue Ke Xue Yuan Xue Bao
Current genetics,Curr Genet
Pediatric cardiology,Pediatr Cardiol
Enzyme and microbial technology,Enzyme Microb Technol
International journal of pediatric otorhinolaryngology,Int J Pediatr Otorhinolaryngol
History and philosophy of the life sciences,Hist Philos Life Sci
Revista Argentina de microbiología,Rev Argent Microbiol
Immunobiology,Immunobiology
Veterinary immunology and immunopathology,Vet Immunol Immunopathol
Journal of reproductive immunology,J Reprod Immunol
The Journal of legal medicine,J Leg Med
Home health care services quarterly,Home Health Care Serv Q
American journal of otolaryngology,Am J Otolaryngol
Biological trace element research,Biol Trace Elem Res
Psychiatry research,Psychiatry Res
Biopharmaceutics & drug disposition,Biopharm Drug Dispos
The American Journal of dermatopathology,Am J Dermatopathol
Parasite immunology,Parasite Immunol
Epidemiologic reviews,Epidemiol Rev
Zhonghua zhong liu za zhi [Chinese journal of oncology],Zhonghua Zhong Liu Za Zhi
Journal of clinical gastroenterology,J Clin Gastroenterol
Immunology letters,Immunol Lett
Journal of epidemiology and community health,J Epidemiol Community Health
Therapeutic drug monitoring,Ther Drug Monit
Journal of UOEH,J UOEH
Medical teacher,Med Teach
International journal of biological macromolecules,Int J Biol Macromol
The veterinary quarterly,Vet Q
Saudi medical journal,Saudi Med J
Brain & development,Brain Dev
Ultrasonic imaging,Ultrason Imaging
Pediatric dentistry,Pediatr Dent
European journal of orthodontics,Eur J Orthod
The Journal of infection,J Infect
Research on aging,Res Aging
The Journal of orthopaedic and sports physical therapy,J Orthop Sports Phys Ther
Journal - Canadian Dental Association = Journal de l'Association dentaire canadienne,J Can Dent Assoc
Journal of the American Academy of Dermatology,J Am Acad Dermatol
Journal of natural products,J Nat Prod
Acta médica portuguesa,Acta Med Port
Hypertension,Hypertension
European journal of cell biology,Eur J Cell Biol
Trends in pharmacological sciences,Trends Pharmacol Sci
Journal of affective disorders,J Affect Disord
Pharmacology & therapeutics,Pharmacol Ther
Journal of inorganic biochemistry,J Inorg Biochem
Clinical science,Clin Sci (Lond)
Neurotoxicology,Neurotoxicology
Journal of neuroscience methods,J Neurosci Methods
General hospital psychiatry,Gen Hosp Psychiatry
Calcified tissue international,Calcif Tissue Int
Western journal of nursing research,West J Nurs Res
Neurological research,Neurol Res
Molecular immunology,Mol Immunol
Journal of marital and family therapy,J Marital Fam Ther
Journal of autism and developmental disorders,J Autism Dev Disord
Canadian journal of psychiatry. Revue canadienne de psychiatrie,Can J Psychiatry
The Thoracic and cardiovascular surgeon,Thorac Cardiovasc Surg
Journal of ethnopharmacology,J Ethnopharmacol
Digestive diseases and sciences,Dig Dis Sci
Journal of cardiovascular pharmacology,J Cardiovasc Pharmacol
Journal of cancer research and clinical oncology,J Cancer Res Clin Oncol
The American journal of Chinese medicine,Am J Chin Med
The Veterinary clinics of North America. Small animal practice,Vet Clin North Am Small Anim Pract
Marine environmental research,Mar Environ Res
Journal of fish diseases,J Fish Dis
Türkiye parazitolojii dergisi,Turkiye Parazitol Derg
"Plant, cell & environment",Plant Cell Environ
Gastroenterología y hepatología,Gastroenterol Hepatol
Huan jing ke xue= Huanjing kexue,Huan Jing Ke Xue
Australian health review : a publication of the Australian Hospital Association,Aust Health Rev
Veterinary surgery : VS,Vet Surg
The Malaysian journal of pathology,Malays J Pathol
Archives of dermatological research,Arch Dermatol Res
Archives of pharmacal research,Arch Pharm Res
Journal of veterinary pharmacology and therapeutics,J Vet Pharmacol Ther
Journal of inherited metabolic disease,J Inherit Metab Dis
Berichte zur Wissenschaftsgeschichte,Ber Wiss
Neurosurgical review,Neurosurg Rev
Issues in mental health nursing,Issues Ment Health Nurs
Food and nutrition bulletin,Food Nutr Bull
Toxicologic pathology,Toxicol Pathol
Nutrition and cancer,Nutr Cancer
International ophthalmology,Int Ophthalmol
Scanning,Scanning
Journal of gerontological social work,J Gerontol Soc Work
Clinical cardiology,Clin Cardiol
Handbook of experimental pharmacology,Handb Exp Pharmacol
Forensic science international,Forensic Sci Int
Journal of pediatric ophthalmology and strabismus,J Pediatr Ophthalmol Strabismus
Curationis,Curationis
Progress in lipid research,Prog Lipid Res
Gynecologic and obstetric investigation,Gynecol Obstet Invest
Hearing research,Hear Res
ANS.  Advances in nursing science,ANS Adv Nurs Sci
Family & community health,Fam Community Health
Developmental neuroscience,Dev Neurosci
Sleep,Sleep
Journal of adolescence,J Adolesc
"Comparative immunology, microbiology and infectious diseases",Comp Immunol Microbiol Infect Dis
The Behavioral and brain sciences,Behav Brain Sci
Trends in neurosciences,Trends Neurosci
Current microbiology,Curr Microbiol
Maturitas,Maturitas
Environment international,Environ Int
Animal reproduction science,Anim Reprod Sci
Journal of manipulative and physiological therapeutics,J Manipulative Physiol Ther
Journal of behavioral medicine,J Behav Med
International journal of law and psychiatry,Int J Law Psychiatry
Journal of endocrinological investigation,J Endocrinol Invest
Cancer chemotherapy and pharmacology,Cancer Chemother Pharmacol
Research in nursing & health,Res Nurs Health
"Pathology, research and practice",Pathol Res Pract
Orthopedics,Orthopedics
Neuroscience and biobehavioral reviews,Neurosci Biobehav Rev
Infant behavior & development,Infant Behav Dev
Evaluation & the health professions,Eval Health Prof
Diabetes care,Diabetes Care
International journal of rehabilitation research. Internationale Zeitschrift für Rehabilitationsforschung.  Revue internationale de recherches de réadaptation,Int J Rehabil Res
Cancer nursing,Cancer Nurs
Annals of plastic surgery,Ann Plast Surg
Journal français d'ophtalmologie,J Fr Ophtalmol
International journal of pharmaceutics,Int J Pharm
Clinical and investigative medicine. Médecine clinique et experimentale,Clin Invest Med
Annual review of neuroscience,Annu Rev Neurosci
Allergy,Allergy
Pacing and clinical electrophysiology : PACE,Pacing Clin Electrophysiol
Muscle & nerve,Muscle Nerve
Journal of the Royal Society of Medicine,J R Soc Med
The Journal of ambulatory care management,J Ambul Care Manage
The International journal of artificial organs,Int J Artif Organs
Ophthalmology,Ophthalmology
Evaluation and program planning,Eval Program Plann
The Journal of clinical psychiatry,J Clin Psychiatry
The Psychiatric clinics of North America,Psychiatr Clin North Am
Meat science,Meat Sci
"American journal of physiology. Regulatory, integrative and comparative physiology",Am J Physiol Regul Integr Comp Physiol
American journal of physiology. Heart and circulatory physiology,Am J Physiol Heart Circ Physiol
American journal of physiology. Cell physiology,Am J Physiol Cell Physiol
Veterinary clinical pathology,Vet Clin Pathol
"Proceedings of the Japan Academy. Series B, Physical and biological sciences",Proc Jpn Acad Ser B Phys Biol Sci
Revista de la Facultad de Ciencias Médicas,Rev Fac Cien Med Univ Nac Cordoba
Journal of histotechnology,J Histotechnol
Journal of biomechanical engineering,J Biomech Eng
Zhurnal voprosy neĭrokhirurgii imeni N. N. Burdenko,Zh Vopr Neirokhir Im N N Burdenko
Oncology nursing forum,Oncol Nurs Forum
Journal of medical systems,J Med Syst
Ecotoxicology and environmental safety,Ecotoxicol Environ Saf
The South African journal of communication disorders = Die Suid-Afrikaanse tydskrif vir Kommunikasieafwykings,S Afr J Commun Disord
JPEN.  Journal of parenteral and enteral nutrition,JPEN J Parenter Enteral Nutr
Behavior modification,Behav Modif
Neurosurgery,Neurosurgery
Artificial organs,Artif Organs
Drug development and industrial pharmacy,Drug Dev Ind Pharm
Plasmid,Plasmid
Drug and chemical toxicology,Drug Chem Toxicol
Child abuse & neglect,Child Abuse Negl
Law and human behavior,Law Hum Behav
Seminars in perinatology,Semin Perinatol
The Journal of oral implantology,J Oral Implantol
Toxicology letters,Toxicol Lett
Optics letters,Opt Lett
Early human development,Early Hum Dev
Developmental and comparative immunology,Dev Comp Immunol
Cognitive science,Cogn Sci
Biometrical journal. Biometrische Zeitschrift,Biom J
Annals of the ICRP,Ann ICRP
The American journal of surgical pathology,Am J Surg Pathol
Prosthetics and orthotics international,Prosthet Orthot Int
"Culture, medicine and psychiatry",Cult Med Psychiatry
Annals of neurology,Ann Neurol
Medical anthropology,Med Anthropol
"Alcoholism, clinical and experimental research",Alcohol Clin Exp Res
Leukemia research,Leuk Res
Clinical therapeutics,Clin Ther
Journal of food biochemistry,J Food Biochem
Sexually transmitted diseases,Sex Transm Dis
Journal of medical virology,J Med Virol
FEMS microbiology letters,FEMS Microbiol Lett
International orthopaedics,Int Orthop
Journal of analytical toxicology,J Anal Toxicol
Medical & biological engineering & computing,Med Biol Eng Comput
Intensive care medicine,Intensive Care Med
Histopathology,Histopathology
World journal of surgery,World J Surg
Microbiology and immunology,Microbiol Immunol
Journal of food protection,J Food Prot
Journal of computer assisted tomography,J Comput Assist Tomogr
Investigative ophthalmology & visual science,Invest Ophthalmol Vis Sci
Journal of medical engineering & technology,J Med Eng Technol
Immunological reviews,Immunol Rev
Disasters,Disasters
Annales de dermatologie et de vénéréologie,Ann Dermatol Venereol
Santé mentale au Québec,Sante Ment Que
Epidemiologia e prevenzione,Epidemiol Prev
The Journal of toxicological sciences,J Toxicol Sci
MMWR.  Morbidity and mortality weekly report,MMWR Morb Mortal Wkly Rep
Journal of pediatric psychology,J Pediatr Psychol
Herz,Herz
AJR.  American journal of roentgenology,AJR Am J Roentgenol
Gene,Gene
Hemoglobin,Hemoglobin
Veterinary microbiology,Vet Microbiol
Journal of neuroradiology = Journal de neuroradiologie,J Neuroradiol
The Tokai journal of experimental and clinical medicine,Tokai J Exp Clin Med
Nursing administration quarterly,Nurs Adm Q
Environmental management,Environ Manage
Behavioural processes,Behav Processes
Current problems in cancer,Curr Probl Cancer
Food chemistry,Food Chem
Skeletal radiology,Skeletal Radiol
Nurse educator,Nurse Educ
Lung,Lung
Journal of bioenergetics and biomembranes,J Bioenerg Biomembr
"Indian journal of dermatology, venereology and leprology",Indian J Dermatol Venereol Leprol
"Ear, nose, & throat journal",Ear Nose Throat J
Current problems in cardiology,Curr Probl Cardiol
Aesthetic plastic surgery,Aesthetic Plast Surg
Human genetics,Hum Genet
Neurochemical research,Neurochem Res
Health care management review,Health Care Manage Rev
Health & social work,Health Soc Work
Clinical nuclear medicine,Clin Nucl Med
Trends in biochemical sciences,Trends Biochem Sci
Spine,Spine (Phila Pa 1976)
The Journal of medicine and philosophy,J Med Philos
Journal of labelled compounds & radiopharmaceuticals,J Labelled Comp Radiopharm
General dentistry,Gen Dent
American journal of hematology,Am J Hematol
Journal of advanced nursing,J Adv Nurs
The Journal of hand surgery,J Hand Surg Am
The American journal of sports medicine,Am J Sports Med
Nuklearmedizin. Nuclear medicine,Nuklearmedizin
"Journal of health politics, policy and law",J Health Polit Policy Law
European journal of drug metabolism and pharmacokinetics,Eur J Drug Metab Pharmacokinet
Women & health,Women Health
Thrombosis and haemostasis,Thromb Haemost
Suicide & life-threatening behavior,Suicide Life Threat Behav
Revue d'épidémiologie et de santé publique,Rev Epidemiol Sante Publique
Psychopharmacology,Psychopharmacology (Berl)
Clinical neuropharmacology,Clin Neuropharmacol
"Journal of environmental science and health. Part. B, Pesticides, food contaminants, and agricultural wastes",J Environ Sci Health B
Current problems in diagnostic radiology,Curr Probl Diagn Radiol
Archives of pathology & laboratory medicine,Arch Pathol Lab Med
Annual review of pharmacology and toxicology,Annu Rev Pharmacol Toxicol
Clinical pharmacokinetics,Clin Pharmacokinet
Clinical and experimental dermatology,Clin Exp Dermatol
MCN.  The American journal of maternal child nursing,MCN Am J Matern Child Nurs
Brain research bulletin,Brain Res Bull
Applied and environmental microbiology,Appl Environ Microbiol
Operative dentistry,Oper Dent
Medical education,Med Educ
Neuroscience,Neuroscience
Gerontology,Gerontology
Journal of hazardous materials,J Hazard Mater
Personality & social psychology bulletin,Pers Soc Psychol Bull
Psychoneuroendocrinology,Psychoneuroendocrinology
Neuropathology and applied neurobiology,Neuropathol Appl Neurobiol
Cell structure and function,Cell Struct Funct
Journal of emergency nursing,J Emerg Nurs
Indian journal of pathology & microbiology,Indian J Pathol Microbiol
Contact dermatitis,Contact Dermatitis
European journal of pediatrics,Eur J Pediatr
Social work in health care,Soc Work Health Care
The Nurse practitioner,Nurse Pract
"International journal of radiation oncology, biology, physics",Int J Radiat Oncol Biol Phys
Addictive behaviors,Addict Behav
Experimental aging research,Exp Aging Res
Molecular aspects of medicine,Mol Aspects Med
Veterinary parasitology,Vet Parasitol
"Child: care, health and development",Child Care Health Dev
Journal of community health,J Community Health
Neuroscience letters,Neurosci Lett
Journal of thermal biology,J Therm Biol
Journal of neuroscience research,J Neurosci Res
Inflammation,Inflammation
Cancer letters,Cancer Lett
Chinese medical journal,Chin Med J (Engl)
Ultramicroscopy,Ultramicroscopy
Journal of medical ethics,J Med Ethics
The Journal of antimicrobial chemotherapy,J Antimicrob Chemother
Drug and alcohol dependence,Drug Alcohol Depend
Contributions to nephrology,Contrib Nephrol
Neuropsychobiology,Neuropsychobiology
European urology,Eur Urol
International archives of occupational and environmental health,Int Arch Occup Environ Health
"Scandinavian journal of work, environment & health",Scand J Work Environ Health
Journal of endodontics,J Endod
Journal of gerontological nursing,J Gerontol Nurs
American journal of law & medicine,Am J Law Med
Pain,Pain
RöFo : Fortschritte auf dem Gebiete der Röntgenstrahlen und der Nuklearmedizin,Rofo
Archives of virology,Arch Virol
Social studies of science,Soc Stud Sci
Mycopathologia,Mycopathologia
Medical hypotheses,Med Hypotheses
Journal of clinical microbiology,J Clin Microbiol
Journal of chemical ecology,J Chem Ecol
Journal of experimental psychology. Human perception and performance,J Exp Psychol Hum Percept Perform
Journal of experimental psychology. General,J Exp Psychol Gen
Biological cybernetics,Biol Cybern
Public health reports,Public Health Rep
Gan to kagaku ryoho. Cancer & chemotherapy,Gan To Kagaku Ryoho
Revista do Colégio Brasileiro de Cirurgiões,Rev Col Bras Cir
The Journal of rheumatology. Supplement,J Rheumatol Suppl
Journal of veterinary medical education,J Vet Med Educ
Journal of fluency disorders,J Fluency Disord
The Journal of dermatology,J Dermatol
Brain and language,Brain Lang
British journal of clinical pharmacology,Br J Clin Pharmacol
The Journal of family practice,J Fam Pract
The American journal of drug and alcohol abuse,Am J Drug Alcohol Abuse
Journal of sex & marital therapy,J Sex Marital Ther
Journal of homosexuality,J Homosex
Aggressive behavior,Aggress Behav
Journal of mathematical biology,J Math Biol
Clinical neurology and neurosurgery,Clin Neurol Neurosurg
Cancer treatment reviews,Cancer Treat Rev
The Journal of rheumatology,J Rheumatol
Clinics in perinatology,Clin Perinatol
JPMA.  The Journal of the Pakistan Medical Association,J Pak Med Assoc
Advances and technical standards in neurosurgery,Adv Tech Stand Neurosurg
Molecular and cellular endocrinology,Mol Cell Endocrinol
Microbial ecology,Microb Ecol
Psychological research,Psychol Res
"Reviews of physiology, biochemistry and pharmacology",Rev Physiol Biochem Pharmacol
Journal of oral rehabilitation,J Oral Rehabil
AANA journal,AANA J
Seminars in thrombosis and hemostasis,Semin Thromb Hemost
Bio Systems,Biosystems
Primary care,Prim Care
Irish medical journal,Ir Med J
Medical physics,Med Phys
Journal of child language,J Child Lang
Journal of cutaneous pathology,J Cutan Pathol
Journal of clinical periodontology,J Clin Periodontol
Clinical and experimental pharmacology & physiology,Clin Exp Pharmacol Physiol
Clinics in plastic surgery,Clin Plast Surg
Andrologia,Andrologia
The Urologic clinics of North America,Urol Clin North Am
Psychiatrische Praxis,Psychiatr Prax
Journal of neurology,J Neurol
Theriogenology,Theriogenology
Aktuelle Urologie,Aktuelle Urol
European journal of medicinal chemistry,Eur J Med Chem
Seminars in oncology,Semin Oncol
Immunogenetics,Immunogenetics
Cell and tissue research,Cell Tissue Res
Archives of toxicology,Arch Toxicol
Radiation and environmental biophysics,Radiat Environ Biophys
The Canadian journal of neurological sciences. Le journal canadien des sciences neurologiques,Can J Neurol Sci
Zeitschrift für Rheumatologie,Z Rheumatol
Cell,Cell
Nucleic acids research,Nucleic Acids Res
Archives of microbiology,Arch Microbiol
Annals of human biology,Ann Hum Biol
Drug metabolism and disposition : the biological fate of chemicals,Drug Metab Dispos
Zhonghua xin xue guan bing za zhi,Zhonghua Xin Xue Guan Bing Za Zhi
"Auris, nasus, larynx",Auris Nasus Larynx
"Anatomia, histologia, embryologia",Anat Histol Embryol
Biochemical Society transactions,Biochem Soc Trans
Journal of neurosurgical sciences,J Neurosurg Sci
Acta reumatológica portuguesa,Acta Reumatol Port
Journal of nuclear medicine technology,J Nucl Med Technol
The Physician and sportsmedicine,Phys Sportsmed
Journal of biological physics,J Biol Phys
Acta medica Okayama,Acta Med Okayama
Ultrasound in medicine & biology,Ultrasound Med Biol
Community dentistry and oral epidemiology,Community Dent Oral Epidemiol
Annals of clinical and laboratory science,Ann Clin Lab Sci
"Advances in anatomy, embryology, and cell biology",Adv Anat Embryol Cell Biol
Molecular biology reports,Mol Biol Rep
Biophysical chemistry,Biophys Chem
Journal of nutritional science and vitaminology,J Nutr Sci Vitaminol (Tokyo)
Experimental hematology,Exp Hematol
Journal of environmental management,J Environ Manage
Journal of clinical ultrasound : JCU,J Clin Ultrasound
Differentiation; research in biological diversity,Differentiation
Bulletin of mathematical biology,Bull Math Biol
Scandinavian journal of rheumatology. Supplement,Scand J Rheumatol Suppl
No shinkei geka. Neurological surgery,No Shinkei Geka
"European journal of obstetrics, gynecology, and reproductive biology",Eur J Obstet Gynecol Reprod Biol
Biological psychology,Biol Psychol
Life sciences,Life Sci
Exercise and sport sciences reviews,Exerc Sport Sci Rev
Methods in cell biology,Methods Cell Biol
Progress in neurobiology,Prog Neurobiol
Allergologia et immunopathologia,Allergol Immunopathol (Madr)
International journal of aging & human development,Int J Aging Hum Dev
"Pharmacology, biochemistry, and behavior",Pharmacol Biochem Behav
Journal of community psychology,J Community Psychol
Journal of clinical pharmacology,J Clin Pharmacol
Urology,Urology
International journal of psychiatry in medicine,Int J Psychiatry Med
Pediatric radiology,Pediatr Radiol
Infection,Infection
American journal of community psychology,Am J Community Psychol
Molecular and cellular biochemistry,Mol Cell Biochem
Clinical nephrology,Clin Nephrol
Intervirology,Intervirology
Toxicology,Toxicology
Journal of perinatal medicine,J Perinat Med
Basic research in cardiology,Basic Res Cardiol
Memory & cognition,Mem Cognit
Archives of environmental contamination and toxicology,Arch Environ Contam Toxicol
The Netherlands journal of medicine,Neth J Med
Critical care medicine,Crit Care Med
Wei sheng yan jiu = Journal of hygiene research,Wei Sheng Yan Jiu
Türk Kardiyoloji Derneği arşivi : Türk Kardiyoloji Derneğinin yayın organıdır,Turk Kardiyol Dern Ars
Avian pathology : journal of the W.V.P.A,Avian Pathol
International journal of epidemiology,Int J Epidemiol
Revista de neurologia,Rev Neurol
Dento maxillo facial radiology,Dentomaxillofac Radiol
"Annals of the Academy of Medicine, Singapore",Ann Acad Med Singap
Journal of the South African Veterinary Association,J S Afr Vet Assoc
Environmental entomology,Environ Entomol
Reviews on environmental health,Rev Environ Health
Tijdschrift voor psychiatrie,Tijdschr Psychiatr
Lab animal,Lab Anim (NY)
Age and ageing,Age Ageing
Perception,Perception
Cognition,Cognition
Rehabilitation psychology,Rehabil Psychol
Gynecologic oncology,Gynecol Oncol
Connective tissue research,Connect Tissue Res
Ambio,Ambio
Journal of allied health,J Allied Health
The Medical journal of Malaysia,Med J Malaysia
Annals of biomedical engineering,Ann Biomed Eng
Pediatric annals,Pediatr Ann
Journal of dentistry,J Dent
Current medical research and opinion,Curr Med Res Opin
Mechanisms of ageing and development,Mech Ageing Dev
Clinical endocrinology,Clin Endocrinol (Oxf)
The Journal of international medical research,J Int Med Res
Anaesthesia and intensive care,Anaesth Intensive Care
Journal of human evolution,J Hum Evol
Chemical Society reviews,Chem Soc Rev
ORL; journal for oto-rhino-laryngology and its related specialties,ORL J Otorhinolaryngol Relat Spec
International journal of offender therapy and comparative criminology,Int J Offender Ther Comp Criminol
Journal of youth and adolescence,J Youth Adolesc
Upsala journal of medical sciences,Ups J Med Sci
Resuscitation,Resuscitation
Der Orthopäde,Orthopade
Journal of environmental quality,J Environ Qual
Social science research,Soc Sci Res
The Science of the total environment,Sci Total Environ
Environmental health perspectives,Environ Health Perspect
Archiv der Pharmazie,Arch Pharm (Weinheim)
Heart & lung : the journal of critical care,Heart Lung
Thrombosis research,Thromb Res
Naunyn-Schmiedeberg's archives of pharmacology,Naunyn Schmiedebergs Arch Pharmacol
Klinische Pädiatrie,Klin Padiatr
Scandinavian journal of immunology,Scand J Immunol
Kidney international,Kidney Int
Preventive medicine,Prev Med
Drug metabolism reviews,Drug Metab Rev
Scandinavian journal of rheumatology,Scand J Rheumatol
Chemosphere,Chemosphere
Journal of medical primatology,J Med Primatol
Frontiers of hormone research,Front Horm Res
VASA. Zeitschrift für Gefässkrankheiten,Vasa
Antimicrobial agents and chemotherapy,Antimicrob Agents Chemother
Nursing,Nursing
Drugs,Drugs
Respiratory care,Respir Care
Polimery w medycynie,Polim Med
Xenobiotica; the fate of foreign compounds in biological systems,Xenobiotica
Seminars in arthritis and rheumatism,Semin Arthritis Rheum
Journal of immunological methods,J Immunol Methods
"International journal of health services : planning, administration, evaluation",Int J Health Serv
Bioorganic chemistry,Bioorg Chem
Tropical doctor,Trop Doct
Pesticide biochemistry and physiology,Pestic Biochem Physiol
Journal of drug education,J Drug Educ
The Journal of allergy and clinical immunology,J Allergy Clin Immunol
Archives of sexual behavior,Arch Sex Behav
International journal for vitamin and nutrition research. Internationale Zeitschrift für Vitamin- und Ernährungsforschung.  Journal international de vitaminologie et de nutrition,Int J Vitam Nutr Res
European journal of immunology,Eur J Immunol
Revue de l'infirmière,Rev Infirm
Biochimie,Biochimie
Seminars in nuclear medicine,Semin Nucl Med
The Journal of nursing administration,J Nurs Adm
Biomedizinische Technik. Biomedical engineering,Biomed Tech (Berl)
Journal of personality assessment,J Pers Assess
American journal of public health,Am J Public Health
The Hastings Center report,Hastings Cent Rep
Indian journal of ophthalmology,Indian J Ophthalmol
Journal of molecular evolution,J Mol Evol
Journal of psycholinguistic research,J Psycholinguist Res
Monographs in oral science,Monogr Oral Sci
"Language, speech, and hearing services in schools",Lang Speech Hear Serv Sch
Sub-cellular biochemistry,Subcell Biochem
Ecology of food and nutrition,Ecol Food Nutr
Medical microbiology and immunology,Med Microbiol Immunol
International journal for parasitology,Int J Parasitol
Japanese journal of clinical oncology,Jpn J Clin Oncol
Veterinary pathology,Vet Pathol
MMWR supplements,MMWR Suppl
The Enzymes,Enzymes
Human pathology,Hum Pathol
Journal of periodontology,J Periodontol
Der Urologe. Ausg. A,Urologe A
Neuroradiology,Neuroradiology
Child psychiatry and human development,Child Psychiatry Hum Dev
American family physician,Am Fam Physician
Omega,Omega (Westport)
Cardiology,Cardiology
European journal of clinical pharmacology,Eur J Clin Pharmacol
Psychological medicine,Psychol Med
Behavior therapy,Behav Ther
Studies in history and philosophy of science,Stud Hist Philos Sci
Computers in biology and medicine,Comput Biol Med
Acta neurobiologiae experimentalis,Acta Neurobiol Exp (Wars)
Cellular immunology,Cell Immunol
Rhinology,Rhinology
The International journal of neuroscience,Int J Neurosci
Advances in cardiology,Adv Cardiol
Ophthalmic research,Ophthalmic Res
International urology and nephrology,Int Urol Nephrol
Journal of molecular and cellular cardiology,J Mol Cell Cardiol
Journal of continuing education in nursing,J Contin Educ Nurs
Marine pollution bulletin,Mar Pollut Bull
Theoretical population biology,Theor Popul Biol
The Orthopedic clinics of North America,Orthop Clin North Am
Clinical genetics,Clin Genet
Behavior genetics,Behav Genet
Laboratory medicine,Lab Med
Acta neurologica Belgica,Acta Neurol Belg
Infection and immunity,Infect Immun
European journal of clinical investigation,Eur J Clin Invest
Journal of behavior therapy and experimental psychiatry,J Behav Ther Exp Psychiatry
Journal of wildlife diseases,J Wildl Dis
Professioni infermieristiche,Prof Inferm
International journal of dermatology,Int J Dermatol
Journal of clinical orthodontics : JCO,J Clin Orthod
Atherosclerosis,Atherosclerosis
Cognitive psychology,Cogn Psychol
Neuropharmacology,Neuropharmacology
Stroke,Stroke
Contraception,Contraception
Chest,Chest
Indian journal of pharmacology,Indian J Pharmacol
Frontiers in neuroendocrinology,Front Neuroendocrinol
Tropical animal health and production,Trop Anim Health Prod
Journal of safety research,J Safety Res
Accident; analysis and prevention,Accid Anal Prev
British journal of sports medicine,Br J Sports Med
Monographs in clinical cytology,Monogr Clin Cytol
"Development, growth & differentiation",Dev Growth Differ
Annals of clinical biochemistry,Ann Clin Biochem
Applied ergonomics,Appl Ergon
Developmental psychology,Dev Psychol
Journal of texture studies,J Texture Stud
Transplantation proceedings,Transplant Proc
Advances in oto-rhino-laryngology,Adv Otorhinolaryngol
Advances in carbohydrate chemistry and biochemistry,Adv Carbohydr Chem Biochem
Schizophrenia bulletin,Schizophr Bull
Journal of motor behavior,J Mot Behav
Progress in molecular and subcellular biology,Prog Mol Subcell Biol
Chemico-biological interactions,Chem Biol Interact
Injury,Injury
Journal of surgical oncology,J Surg Oncol
Hormones and behavior,Horm Behav
Endoscopy,Endoscopy
Tissue & cell,Tissue Cell
Journal of fish biology,J Fish Biol
